stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,T_cell
72hpf,0.28,0.28,0,0,0,0,0,0,0.56,0,0,0,7.05,0.28,0.28,0,0
21Day,0,0,0,0.37,0,0,0,0,0,0,0,0,2.59,0,0,0.37,0
3Month,0,0,0,0,0,0.1,0.1,0,0,0,0.21,0,0,0,0,0,0.1
22Month,0,0.41,0.41,0,0.14,3.83,0,0.41,0.14,0.14,0,0.14,0,0,0,0,0
