stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,62,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,5.64,10.99,0.28,0.28,0,0,1.41,0.28,0,0,0
21Day,0,0,0,0,1.11,0,0,0,0,0.37,0,0,0,0.37,0,0,1.48,7.4,0,0,0,0.37,2.22,0.74,4.44,1.48,0
3Month,0.1,0,0,0.52,0,0.1,0,1.98,0.1,0,0.42,0.31,0.42,0.21,0.1,0.1,0.1,0.21,0.1,0,0.1,0.31,0,0,0,0,0.83
22Month,0,0.14,0.27,0.14,0,0,0.27,5.88,0,0,0.14,0,0.55,0.27,0,0,0.14,0.27,0,0,0,0.14,0,0.14,0,0,0
