stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,1,0,0,0,0,0
72hpf,0.28,0.28,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0.28,0,0,8.17,2.82,0.28,0,0,0,0,0
21Day,0.37,0,0,1.85,0,0,0,0,0,0,0.37,0,0,0,0.37,0,0.74,3.7,0.74,0,0.74,0,0,0,0
3Month,0,0,0,1.25,0,0,0.52,0,1.87,0.1,0,0.52,0.21,0.21,0.42,0,0,0,0.1,0,0,0.1,0.1,0.1,0.1
22Month,0,0.27,0.14,1.37,0,0.14,0.55,0.14,5.33,0,0,0.41,0,0.82,0.68,0.14,0,0,0,0,0,0.14,0,0,0.14
