stage,Epithelial_cell,Erythrocyte,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell
24hpf,0,0,0,0,0,4,0,0,0,0
72hpf,0.28,0.28,0,0.56,15.78,0.56,0.28,0,0,0
21Day,0,0,0,0.37,10.36,0.74,0,0.37,0,0.37
3Month,0,0,0.1,0,0,0,0,0.1,0.1,0
