stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0.28,0,0.85,0.28,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,1.48,0,0,0,0.37,0.37,0,0.74,0,0.37,0.37,0,0.74,0,0,0,0,0,0,0,0,0.37,0,0,1.11
3Month,0.1,0.21,0.1,1.04,0,0,0.1,0.1,22.36,17.16,0,0.62,0.62,0.21,2.08,0.52,0.1,0.31,0.1,0.1,0.1,0.1,0.42,0.52,0,0.21,1.25,2.18
22Month,0.14,0.41,0,0.41,0.14,0.14,0,0.68,12.71,2.46,0,0.27,0,0,0.27,0.82,0.41,0.14,0,0,0,0,0,0.14,0,0,0,0.96
