stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,1.69,1.69,0,0.28,0,0.28,0,0,0,0.28,0,0.56,2.25,0.85,1.41,0,0,6.2,4.79,0,0,1.13,0,0,0,0,0.28,0,0,0
21Day,1.48,0,4.07,4.07,0,0,0,0.37,0,0.74,0,5.55,0.74,0.74,3.33,3.33,2.22,0,0,2.96,1.11,0,0.37,0.37,0.37,0.37,0.37,0.74,0,0,0,6.29
3Month,0,0,3.12,0,0.1,0,0.21,0.73,0,2.18,4.58,0.31,0.94,0.21,1.66,3.85,0.42,0.31,0.21,0.21,0,0,0,0,0.21,1.04,0,0,0,0.21,0.52,25.07
22Month,0,0.14,0.68,0,0,0,0,0.96,0.27,3.28,0.14,0.27,0.41,0.14,0.41,1.23,0.14,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,6.56
