stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,4,0,0,0,0,0,1,1,1,0,0,7,0,0,0,0,0,0,0
72hpf,0,0,0.56,0.28,0,0,0,3.66,0,0.28,0,1.13,0.85,0,0.28,0,0,0,0,0
21Day,0,0.37,0,0,0,0,0,0,0,0.37,0,1.11,0,0.37,0.74,0.37,0,0.37,0,0
3Month,0,0.21,0,0,0.1,0.1,0.1,0.1,0,0,0,0.1,0,0.1,0,0,1.14,0,0.1,0.21
22Month,0.14,1.09,0,0,0.68,0.14,0.14,0,0.14,0.41,0.68,0,0,0,0,0,0.27,0.14,0,0.14
