stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,1.69,0,9.02,0.56,0,0.28,0,0,0,0,0,0.85,0.28,4.79,1.41,0,0,0.56,56.65,2.25,2.25,0.85,6.2,0.28,0,0.85,2.25,4.51,0.56,0,0,0
21Day,2.22,2.96,2.96,5.55,2.59,0.37,1.48,0,1.11,0.37,1.11,2.59,1.48,1.85,6.29,16.28,0,0,13.32,84.36,2.96,2.22,3.33,11.47,2.96,0.37,1.11,4.44,5.18,1.11,0,0,1.11
3Month,0.1,1.35,1.66,0.42,0,0,1.87,0,1.46,0.21,0,2.6,0.1,0,1.56,2.5,0.31,0,0.42,0.62,0.1,2.29,0.1,2.81,0,0.73,0,0.1,0,0.1,0,0.1,0.42
22Month,0,1.23,0.96,0,0,0.14,1.23,0.14,2.73,0,0,1.23,0,0.14,1.23,1.78,0,0.14,0,0.68,0,1.23,0,0.41,0,0.41,0,0,0,0,0.14,0,0
