stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,2,0,14,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.28,0,0.56,0.28,0,0,0,0,0,0,0,0.28,0,0,0.56,0,0,0,0,4.79,4.79,0,0,0.56,0,0,1.41,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0,0.37,0,0.37,0.37,0,0.37,0,0,0,0,0.74,1.11,0.37,0,0,0,0.37,0.37,0,0,0,0.37
3Month,0.21,0.1,0.1,8.53,0,0,0.31,0.42,5.93,1.14,0,1.56,1.04,0.52,0.62,1.04,0.31,0.1,0.31,0.83,1.35,0.1,1.14,0.1,0.1,0.52,6.35,0.1,0.21,0.42,179.74,0.31
22Month,0,0.14,0,1.23,0,0.14,0,0.55,1.64,0.14,0,0.41,0.14,0.27,0.41,0.27,0,0,0,0.14,0.14,0.14,0.14,0,0,0,0.14,0.14,0,0,0.14,0
