stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Macrophage,Mesenchymal_cell,Primordial_germ_cell,T_cell
3Month,0,0.1,0,0.1,0.1,0,0,1.56,0
22Month,0.14,0,0.14,0.68,0,0.14,0.14,0,0.14
