stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,1.48,0,0,0,0,0,0,0,0,0,10.73,0,0,0,0,0,0,0.37,0,0.74,0,2.22,0,0,0,0,0,0,0
3Month,0.1,0.1,13.11,0.1,0.1,0.42,0,1.77,0.31,0,1.04,0.52,0.42,0.42,0.62,0.31,0,0.21,0,0.1,0.31,1.14,0,0.21,3.12,0.1,0,0,0.1,0.31,1.04
22Month,0,0.27,2.73,0,0,0.68,0.14,5.33,0.55,0.14,1.23,0.27,0,0.55,0.68,0,0.55,0,0.14,0,0.14,0,0.14,0,0.27,0.14,0.14,0.14,0,0,0
