stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,2,0,0,0,0,0,0,0,0
72hpf,0.56,0.28,0,0.85,0,0,0,0,0,0,0,0,0,0,0.28,0.85,0.28,3.38,0,0,0,14.09,2.54,0,0,3.95,0,0,0.56,0,0,0,0,0
21Day,0,0.74,0,5.55,0.74,0,0.74,0.37,0,0,0,0,0.37,0,0,1.11,1.11,5.18,0,0,1.11,5.92,0.74,0.37,0,1.48,0.37,0,0,0,0.37,0,0,0
3Month,0.1,0.73,0.1,8.01,0.1,0,0.1,0.62,1.66,0,3.43,1.56,0.1,0.62,0.21,1.87,1.98,3.22,1.04,0,0.42,0.31,0.21,0.83,0.1,0.21,0.1,0.1,0.1,0,0.1,3.02,0.42,1.25
22Month,0,1.23,0.27,3.01,0.14,0.27,0,0.41,3.69,3.14,12.44,0.68,0.14,1.5,0.27,0.41,2.73,3.96,0,0.14,0.41,0.14,0.27,2.05,0,0,0,0,0.82,0.14,0,1.09,0,1.5
