stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0
72hpf,2.82,0.85,0,28.47,0.85,0,0,0,0,0,0,0,0,0.28,4.79,0.56,47.91,0,0,9.58,10.43,7.05,0,4.51,0,0,0.85,0.56,0,0,0,0
21Day,3.33,0.37,0,35.89,1.85,0.37,0,0,0,0.74,0,1.11,0.74,0.74,1.85,0.37,3.7,0,0,15.54,2.22,1.11,0,0.37,1.11,0,0.37,0,0.37,0,0,0.37
3Month,0.73,0.31,0.1,5.82,0,0,0,1.66,0.52,0.21,0.1,0.1,0.21,0.73,3.54,0.42,2.29,0.1,0,0.73,0,0.1,0.1,0,0.1,0.73,0,0,0,0.1,0.1,0.1
22Month,0,0.41,0,0.96,0,0,0.14,0.68,0.14,0.27,0,0.14,0,0,0.27,1.23,0.14,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0
