stage,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_progenitor_cell,Pancreatic_cell,Spermatocyte
24hpf,2,1,0,1,0,0,0,0,0,0,1,0,0
72hpf,0,6.76,0,0,0,0,0,0,0.28,0,0,0,0
21Day,1.48,22.57,0,7.4,0,0,0,0,0.37,1.11,0,1.48,0
3Month,0.21,0,0,0.1,0.1,0,0.1,0.1,0,1.87,0,0,0.21
22Month,0,0,0.14,0,0.14,0.68,0.14,0,0.14,0.27,0,0,0
