stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Pancreatic_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0.28,0,0.85,7.05,0,1.97,1.97,0,0
21Day,0,0.74,0.37,0,0,0,0,0,0,0,0,0,0,0.74,2.22,0,4.07,0.74,0,0
3Month,0.1,0.42,0,0.1,0.21,0.42,0.21,0,0.21,0.1,0.1,0,0,3.64,0.1,0.1,0,0,0.1,0.1
22Month,0,0,0,0,0.41,0.96,0,0.14,0.41,0,0.14,0,0.27,0,0,0,0.14,0,0,0
