stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.97,0.28,0.28,0,0,0,0,0,0,0,0,3.95,0.28,0.28,0,0,0,0,0.56,0.56,0,0,0.56,0,0,0,0,0
21Day,0,0,0,3.33,0,0.37,0,0,0.37,0,0,0.37,0.37,0.37,0.37,1.11,1.48,0,0,0,0,1.11,0.37,0,0.37,1.11,0,2.22,0,0,0.37
3Month,0.1,0.42,0.21,6.76,0,0,0.31,0.73,2.29,4.78,1.98,0.1,2.08,1.04,1.25,2.6,1.25,0.42,0,1.46,3.43,0.1,0,0,0.73,0,0.83,87.17,0.31,40.57,1.25
22Month,0,0,0,2.19,0,0,0.27,0,1.37,3.28,2.32,0,0.14,0,0.27,0.82,1.09,0,0.14,0.68,0.14,0.14,0,0.14,0.14,0,0.14,6.56,0,0,0.41
