stage,Epithelial_cell,Hepatocyte,Mesenchymal_cell,Nephron_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,5,0,0,0
72hpf,0,0,0.28,0,0.56,0,0.28,0
3Month,0.21,0.52,0.21,0.31,0,3.85,0,1.35
