stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,21,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.85,1.41,1.13,0,0.28,0,0,0.28,0,0,0
21Day,0.37,0,0,4.81,0,0,0,0,0,0,4.44,0,1.48,0,0,0.37,0.74,2.96,0,0.37,0,0.74,0,0,0,0
3Month,0,0.1,0,6.66,0.1,0.1,0.1,1.56,0.21,1.35,1.04,0.42,0.62,0.1,0.1,0.83,0.31,0,0.52,0,0.94,0,0.21,0.1,0.1,0.62
22Month,0,0.14,0.14,0.41,0,0.14,0,0.96,0,0.82,0,0,0.14,0,0,0,0,0,0.14,0,0,0,0,0,0,0
