stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,9.02,0,0,0,0,0,0,0,0.56,0,0,0.28,0,0,0,0,0
21Day,0,0,4.07,0.37,0,0,0,0,0,0.74,0,0.37,25.9,0,0.37,0,0,0.37,0,0,0,0,0,0,0,0,0.37,0,0
3Month,0.1,0.21,25.17,0,0.1,0.31,0,1.14,0.21,0,2.6,0.42,0.52,0.62,0.42,0.1,0,0,0.1,0.1,0.1,0,0.1,0,0.42,0.52,0,0.21,0.1
22Month,0.14,0,0.82,0,0.14,0,0.27,3.96,0,0,0.82,0,0.14,0.41,0.14,0,0.27,0,0,0,0,0.14,0,0,0,0.14,0.14,0,0
