stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,8,0,0,0,0,0
72hpf,0.56,2.25,0.56,0.56,0,0,0,0,0,0.28,0.28,3.1,0,0,45.38,8.74,0.28,5.36,0,1.41,0
21Day,0,1.85,0,0,0,0,0,0,0,0.37,0,2.59,0.37,0.37,15.54,2.96,0,2.22,0,0.37,0
3Month,0,0.1,0,0,0,0,0.1,0,0.1,0,0.1,0.42,0,0,0,0,0,0,0.1,0,0.1
22Month,0,0.55,0,0,0.14,0.14,1.09,0.14,0.14,0,0,0.41,0,0,0.14,0,0,0,0.27,0,0
