stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0.28,0.85,0,0,0,0,0,0.28,0,0,0,0,0,1.69,0,0.28,0,0,0,0,1.97,0,0,0.85,0,0,0.28,0,0,0,0
21Day,0.37,0.37,0.37,0.74,0,0.37,0,0.37,0,0,0,0.74,0.37,0.37,0,0.37,0,0,0,0,0.74,0.37,0,0,0.74,0,0.37,0.37,0,0,0
3Month,0,0.42,0,1.35,0.1,0,0.31,0.31,0,2.18,0.52,0,0.62,0.62,0.42,0.1,0.1,0,0.1,0.21,0,0,0.1,0,0,0.21,0,0,0.1,0.21,0.52
22Month,0,0.27,0,0.82,0,0,0,0.27,0.14,1.78,0.27,0.14,0.96,0,0.14,0,0,0.14,0,0,0,0,0,0,0,0.14,0,0,0,0,0.14
