stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0.56,0,0.85,0,0.85,0,0,0.28,0,0,0,0,0,0.56,0.85,0.56,3.1,0,0,79.48,7.33,0,0,1.69,0,0,0.28,24.8,51.01,0.28,0,0,0
21Day,6.66,0,0.74,13.69,0.37,6.66,1.11,0,0.37,0,1.11,0.37,2.59,3.7,0.74,7.4,1.48,16.28,0,0.74,25.9,8.14,0.37,0.74,3.7,5.55,0,0.37,92.13,520.57,0,0,0,2.59
3Month,0,0.73,0.1,2.08,0,0,0,0.1,0.21,0,1.46,0.21,0,0.83,0.21,0.42,0,0.42,0.1,0,0.1,0,0.1,0,0,0.1,4.26,0,0.1,0.21,0,0.1,1.46,0.1
22Month,0,1.23,0,1.09,0,0,0,0,0.14,0.14,5.88,0.41,0.14,0.41,0,0,0.14,0.55,0,0,0,0,0.14,0,0,0,0.68,0,0.55,0.14,0,0,0,0
