stage,Endothelial_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Retinal_pigment_epithelial_cell
24hpf,0,1,2,2,23,1
72hpf,0.28,0.28,0,0.28,0.85,0
21Day,0,0,0.37,0,0,0
