stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neurosecretory_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
3Month,0,0.94,0,0.1,0.1,0,0,0.21,0.1,0.1,0.1,0,0,0,0,0.1,0.1
22Month,0.14,0.55,0.14,0.14,6.83,0.14,0.14,0.14,0,0.27,0.41,0.14,0.14,0.14,0.41,0,0
