stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.54,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0.85,0,0,0,0,0.85,0,0,0.28,0,0,0
21Day,0,0,0,4.44,0,0.37,0,0,0,0.37,0,0,0,0.37,0.74,0,1.11,0,0,0,0,1.48,0.37,0,0,0.37,5.92,0,0,0,0,0,0
3Month,0,0.1,0.42,35.99,0,0.1,0.62,1.25,0,5.41,1.56,0.42,1.66,0.83,1.66,0.73,2.18,0.31,0,0.42,0.1,0.31,0,0.42,0,0.1,3.95,0.21,0.83,0,0.1,0.83,1.14
22Month,0.14,1.5,0.68,106.18,0.55,0,0.96,2.87,1.09,18.04,1.23,0.27,2.32,0.14,0.27,2.19,2.73,0.27,0.68,0.55,0,0.14,0.27,0.55,0.14,0,3.42,0,0.14,0,0.55,0,1.5
