stage,Erythrocyte,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,1,0,0,0,0,0,0
72hpf,0,0,0.28,8.17,1.41,0,0.28,0,0.28,0,0
21Day,0.37,0,0,6.29,1.11,0.37,0,0.74,1.11,0.37,0.37
22Month,0,1.09,0,0,0,0,0,0,0,0,0.14
