stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Oligodendrocyte,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,4,0,0,0,0
21Day,0,0,0,0,0,0,0,1.11,0,0,0,0
3Month,0.1,0.1,0.52,0,0.1,0.21,0.31,2.7,0.1,0.1,0.1,0.1
22Month,0,0.14,2.46,0.14,0,0,0.14,2.46,0.14,0,0,0
