stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0.28,0,0,0,0,0,0,0,0.28,0,0.28,0.56,0,0.28,0,0,0,0,1.69,0.85,0,0,0,0.85,0,0,0.28,0,0,0
21Day,0.74,0.37,0,1.85,0,0,0,0.37,0,0,0,1.11,0.37,0.37,0,2.22,0.37,0,0,0,0,0,1.11,0,0,0,0,0.37,0,0,0.37,0,0,1.48
3Month,0,0.31,2.6,18.72,0,0.31,0.1,5.1,11.75,0,4.58,8.11,0.21,36.72,0.62,2.29,3.54,0.62,0.31,0,2.08,1.46,0.62,0,1.04,0.42,0,0.21,0.21,2.08,0.1,0.42,0.83,2.91
22Month,0,0.41,1.09,6.7,0.14,0,0,2.05,13.25,0.96,9.84,5.19,1.23,27.06,0.14,1.64,3.14,1.78,0,0.27,0.68,0,0.41,0,0.55,0,0.14,0.14,0,0.41,0,0.14,0,2.05
