stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0,0,0
3Month,0,0.21,0.42,0.1,0,0,0,0.94,0.1,0,0.62,0,0.1,0.31,1.14,0,0,0.1,0,0,0,0,0,1.04,0,0,0.1,0,0.21,0.31
22Month,0.68,0.41,1.37,0.27,0.55,2.05,0.68,9.57,0.68,0.27,1.64,0.41,0.41,2.73,13.66,0.41,0.27,0,0.14,0.41,0.41,0.27,0.27,0.96,0.82,0.41,0.14,0.14,0,1.09
