stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,8,0,0,4,0,1,0,0,0,0,4,0,0,0,0,0,3,2,13,0,0,0,0,9,87,0,0,0,2,0,0,0,0,0,0,0,0
72hpf,4.23,0.28,0,3.38,0.85,1.69,0,0,0,0,0,0.85,0,0,0,6.76,4.79,0.28,4.79,0,1.97,0,0,179.26,16.35,0.56,1.41,0,2.82,0.85,0.56,5.07,1.97,1.69,0.28,0,0
21Day,3.33,0,0.37,4.07,0,0.37,0,0,0.37,0.37,0,0.74,0,0.37,0.74,0.74,0.74,0,3.7,0,0,0.37,0,29.23,4.81,0,0.37,0,1.85,1.85,0.37,0.74,0,1.11,0.37,0,0
3Month,0,0.1,0.62,11.44,0,0,0.1,1.56,0.42,0.21,0,2.6,0.52,0.21,3.43,1.87,0.94,0.21,0.62,0.1,0,0,0.1,1.25,0.1,0.62,0.31,0,0,0.31,26.42,0,0,0,0,0.52,0.31
22Month,0,0,0.14,3.55,0,0,0,1.5,0.41,0.41,0,6.42,0,0.55,2.46,0.27,0.14,0.14,0.55,0,0.41,0,0,0.68,0.27,0.96,0.96,1.23,0,0,1.78,0.14,0.14,0,0,0,0
