stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,20,0,0,0,0,0,0,0,0,0
72hpf,0.85,0.28,0,0.56,1.13,0.28,0,0,0,0,0,0,0,0,0,0,1.13,0.28,5.92,0,0,0,7.89,7.61,0,3.38,0,0,1.41,0.28,0,0,0
21Day,1.48,0,0,2.22,0,0.74,0.37,0,0,0,0,0,0,0.37,0,0.37,0.37,0.37,9.99,0,0,3.33,7.03,4.44,0,5.18,0.37,0,0.37,0,0,0,0
3Month,0,0.21,0,1.35,0,0,0,0.1,0.21,0.42,0.1,0.52,0.31,0.1,0.21,0,0.21,0.21,1.56,0.1,0,0,0,0,0.1,0.1,0,3.02,0,0,0.31,0.21,0.21
22Month,0,0,0.14,0.41,0,0,0,0,0,0.14,0,2.32,0,0,0.68,0,0,0.27,0.96,0.27,0.14,0,0.14,0,0,0,0,3.14,0,0,0,0,0
