stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Retinal_cone_cell,T_cell
24hpf,0,2,0,0,0,0,0,0,0,2,0,0,0,0
72hpf,0.85,0.28,0,0,0,0,0.28,0.28,1.97,1.69,0.56,0,0,0
21Day,0,1.48,0.74,0.74,0.37,1.11,0.37,0.74,0.37,0.37,0,0,1.85,0.37
3Month,0,0,0,0.1,0,0,0.1,0,0,0,0,0.1,0,0
22Month,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0
