stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Muscle_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
21Day,0.37,0.74,0.37,0,0,0,0,0,4.44,0.37,0,0.37,1.11,0.37,0,0.74,0.37,0,0.37,0,0
3Month,0,0.1,0,0,0,0.1,0.31,0,0,0.21,0.1,0,0.73,0,0.1,0,0,0.1,0,0.1,0.52
22Month,0,0,0,0.14,0.14,0.27,0.82,0.14,0.14,0.14,0,0.14,0.68,0,0,0,0,1.09,0,0,0.14
