stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,1.13,0.28,0.28,0
21Day,0.37,0.37,0.37,0,0.37,0,0.37,0,0,0,0,0.37,0,0,0
3Month,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1
22Month,0,0.55,0,0.14,0,0.55,1.64,0,0.14,0.41,0.27,0,0,0,0
