stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,21,19,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,9,18,62,0,0,4,45,386,0,0,4,0,0,0,0,0,0,10,0,0,0
72hpf,0.28,0.28,0,1.41,0.28,0.85,0,0,0,0,0,0,0,0,0,0,0.28,1.41,0.28,7.33,0,0,0,2.25,6.2,0,0,8.46,0.56,0,0.56,0,0,0,0,0,0,0
21Day,4.07,0.37,0,3.7,0.37,0.74,0,0.74,0,0,0,0,0,0,2.22,0.37,0.37,0.74,0.74,26.27,0,1.85,0,2.22,1.48,0,5.18,8.14,1.48,0,10.36,0.37,0.37,0.37,0.37,0,0,1.11
3Month,0,0.73,0.21,5.2,0,0,0.1,0,0.21,0.42,0.94,0,4.68,2.39,0.42,1.87,0.31,1.56,2.6,3.33,0.52,0.31,0.42,0.21,0.1,0.1,4.78,0,1.35,0.1,152.18,0.21,0.1,0,0,0.73,29.75,1.35
22Month,0,0,0.14,0.41,0,0,0,0,0,0,0,0.14,0.82,0.27,0.68,0.27,0,0,0.68,0.55,0,0,0,0,0,0.27,7.11,0,0,0,14.62,0,0,0,0,0,0,0.55
