stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8,3,128,0,0,0,0,0,0,0,0,1,0,0,2,34,0,0,0,5,56,0,7,0,0,0,0,0,1,0,0,0
72hpf,0.28,0.85,12.4,1.41,0,0,0,0,0,0,0,0,0,0.28,0,29.31,0,0,0,9.3,9.58,0,22.83,0,0,1.41,0.28,0.56,3.66,0,0,0
21Day,1.11,1.85,0.74,1.11,0,0,0,0.37,0,0,2.22,0,0,0.37,1.11,10.73,0.37,0,0,4.81,6.29,0,35.52,0,0,0.74,0.74,0.74,1.11,0,0,0.74
3Month,0,0.94,0.83,0,0,0.21,0.83,0,1.14,0.1,0,0.31,0.21,0.1,0.21,4.78,1.14,0,1.25,0.1,0.21,0,0.1,0.21,0.21,0,0,0,0.62,0.21,0.1,0.62
22Month,0.14,0.55,0.68,0,0.27,0,0.14,4.92,3.42,0,0.27,0.27,0,0,0,9.84,0.68,0.14,0.82,0.41,0,0.14,0,0,0.27,0,0,0,0,0,0,0.27
