stage,Epithelial_cell,Mesenchymal_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia
24hpf,0,0,3,0,0
72hpf,0,0,0.56,0,0
21Day,0,0.37,0,0,0.37
3Month,0.21,0.1,0,0.1,0
