stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,0,0,0,2.25,0.56,0,0,0
21Day,0.74,0,0.37,0,0,0,0,0.37,0.37,0,0,4.81,0,0,0,0
3Month,0,3.33,0,0,0.31,0.52,0.1,0,0.1,0.73,0.1,0,0,0.42,0.1,0.1
22Month,0,0,0,0,0.14,0.41,0,0,0,0.14,0,0,0,0,0,0
