stage,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Neurosecretory_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,1,0,0,0
3Month,0.31,0.42,0.1,0.1,0,0.1,1.25,0.31
22Month,0,1.09,0,0,0,0,0.14,0
