stage,Cardiomyocyte,Enterocyte,Erythrocyte,Immune_progenitor_cell,Keratinocyte,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia
24hpf,0,0,0,0,0,0,1,1,0,0,0,0
72hpf,0,0,0.28,0.28,0.28,10.99,0.28,0.28,0,0.56,0,0.28
21Day,0.37,0.37,0.37,0.37,0,11.47,1.11,0,0.37,0.37,0.74,0
