stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,6,0,5,0,1,1,0,0,0,0,0,0,5,1,0,13,0,0,0,1,1,96,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.69,0.28,0,3.1,0.28,2.82,0,0,0.28,0,0,0,0,14.37,3.95,0,4.79,0,0,0,0.28,131.62,22.55,5.07,0.28,0,23.68,1.13,0,6.48,0,0.56,0,0,0
21Day,0.74,0,0,7.77,0,0.37,0.37,0,0,0,0.37,0,0,8.88,1.85,0,1.85,0,0,0.37,0.37,3.33,2.22,1.85,0.37,0,3.33,0.74,0,0,0.37,0.37,0,0,0.74
3Month,0,0.31,0.31,9.78,0,0,0,0.52,0.42,0.1,3.43,0.42,0.52,0.21,0.42,0.21,1.04,0.21,0,2.08,0.83,0.42,0,27.98,0.42,0,0.52,1.25,2.91,0.21,0,0,0.1,1.14,0
22Month,0,1.64,0.68,7.93,0,0,0,1.09,0.96,0.82,22.14,0.27,5.19,0.41,0.55,1.5,1.09,0.14,1.37,0.82,0,0.27,0,21.18,0,0.27,0,0,2.05,0,0,0,0,0,1.23
