stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,1,0,2,10,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0.56,0,0,0,0,0.28,0.56,0.28,0.85,0.28,23.11,18.04,0,0.56,0,0,0.28,1.13,0.28,0,0
21Day,0.37,0,1.85,1.11,0.74,0,0,0,0.37,0.74,0,1.48,0,7.4,14.06,0.37,0.74,1.85,0,0.37,0.37,0,0,0
3Month,0.1,0.21,0.1,0,0,0.1,0.42,0.31,0.21,0.1,0.21,0.1,0.1,0,0,0,0,0.1,2.39,0,0,0,0.52,0.1
22Month,0,0,0,0,0,0,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0
