stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,3,0,0,0,0,0,1,0,0,0,10,0,0,0,0
72hpf,0,0.28,0,0,0,0,0.56,0,0.85,0,0,0.85,0.85,1.13,0,0,0
21Day,0.37,0,0.74,0,0,0.37,0,0,1.11,0,0,0.37,0.37,0,0,0,0
3Month,0,0,0.52,0.1,0.42,0,0.1,0,0,0.1,0.1,0,0,0,3.22,2.5,0.1
22Month,0,0,0,0.27,0,0,0,0.41,0,0,0,0,0,0,0,0,0
