stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0,0,0,0,0,0,0.28,0,0.28,28.18,1.69,0.28,0,0,0,0.28,0,0,0
21Day,0,1.85,0.37,0.37,0,0.37,0.37,0.37,0.37,0.74,0.37,0,5.55,0,0,0,0.37,0,0,0.37,0,0
3Month,0,0,0.1,0,0.1,0.73,0,0.21,0,0.31,0,0.21,0.1,0,0,0.1,0.1,0.1,0,0,5.1,0.1
22Month,0,0,0,0,0,0.14,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
