stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,3,0,0,0,0,0,0,0,0
72hpf,1.13,0,1.41,0,1.13,0,0,0,0,0,0,0,1.13,5.36,0.28,0.85,0,123.45,2.82,0,1.41,0,0,0.85,1.13,0.28,0.28
21Day,0,0,0.37,1.85,0.74,0,0,0,0,0,0.37,0,0.37,0.37,0,0,0,22.57,0.37,0,0,0.74,0,0,0.37,0,0
3Month,0,0,0.1,0.1,0,0.1,0.1,0,0,0.52,0,0,0,0.1,0,0,0,0.31,0,0,0,0,0.1,0,0,0,0
22Month,0.27,0.14,0,0.14,0,0,0.27,0.27,0.27,3.96,0,0.27,0,0,0.27,0,0.14,0,0,0.27,0,0,0.27,0,0,0,0
