stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,7,2,0,12,0,0,0,0,0,0,0,0,0,0,1,1,15,0,0,0,0,49,1,0,0,0,0,1,0,0,0
72hpf,1.69,0.28,0,1.41,0,0,0,0,0,0,0,0,0,0.28,6.48,0.28,3.66,0,0,0.28,4.23,3.38,5.36,0,0,0.56,0,1.13,0,0,0
21Day,3.33,0,0.37,7.77,0,0,0,0,0,0.74,0,1.11,0,0.37,3.7,0.74,6.29,0,0,1.48,1.48,1.48,2.22,0.37,0,0.37,0.37,0.37,0,0,0
3Month,0,0.1,0.1,7.91,0.1,0.1,0.1,0.42,0.21,0.1,0.94,0,0.31,0.52,1.14,0.62,1.14,0.1,0,1.35,0.1,0.1,0.1,0,0.31,0,0,0,0.31,0.1,0.1
22Month,0,0,0,0.68,0,0,0,0,0.27,0.27,0.82,0,0.14,0,0,0.14,0.68,0.14,0.14,0.27,0,0,0,0,0.14,0,0,0,0,0,0
