stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,1,2,28,2,0,0,0,6,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0.28,0.28,0.28,0,0,0.28,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0.37,0.37,0.37,0,0,0,0,0,1.11,2.22,0,0.37,0.37,0,0,0,0.74,0.37,0,0.37,0,0,0.37
3Month,0,0.31,0.1,0.31,0.31,0.31,0,0,0.1,3.85,0.42,0,0,0,0,0.1,0,0,5.72,0,0,0,1.04,0.21
22Month,0,0.14,0.41,0.41,12.3,0,0.96,0,0,7.65,0.68,0.27,0.14,0,0,0.14,0.27,0,0.96,0.27,0,0.14,0,0.14
