stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast
24hpf,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
72hpf,0,0,0,0,0,0,0,0,0.56,0,0,0,2.54,0.56,0,0
21Day,0.74,0,0,0,0,0,0,0.37,0.37,0.74,0.37,0.37,1.85,0,1.11,0.37
3Month,0.1,0,0,0,0.1,0.1,0,0,0.1,0,0,0.1,0,0,0,0
22Month,0.14,0.14,0.55,0.68,0.27,0,0.55,0,0,0.27,0,0,0.14,0,0,0
