stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,1,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0.85,0.56,0.56,0,0
21Day,0.37,0,0.37,0,0,0,3.33,0.37,1.48,0.37,1.11,0,0
3Month,0,0.21,0,0.1,0.42,0.42,0.31,0,0.1,0.1,0.1,0.31,0.42
22Month,0,0,0,0,1.09,0,0.14,0,0,0,0,0,0
