stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0.28,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0.74,13.69,0.37,0,0,0,0.37,0,0,0.37,0.37,0,0
3Month,0,0.42,0.1,0.1,0,1.77,0.62,0,0.42,0.31,6.87,0.1,0.1,0.1,0.1,0,0.1,0.31,0,0,0.1,0
22Month,0.14,0,0,0.14,0.27,5.19,0.14,0.27,0,0,2.87,0.27,0.14,0.14,0,0,0,0.27,0,0,0,0.41
