stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,1,0,1,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0.85,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0.56,0.28,1.13,0,0,0,0,0.28,0,0,0,0
21Day,0,0,0,0.74,0.74,0,0,0,0,0,0.37,0,0,0,0,1.11,0,0.37,0,0,0,0,0,0,0,0,0.37,0,0.37,0.37,0,0,0
3Month,0.21,0.31,0.52,11.86,0.21,0,0.21,0.73,0.94,0.21,7.91,1.35,0.1,1.66,2.5,1.04,1.25,1.35,0.1,0,0.42,0.73,0.73,0,0.31,0.1,1.14,16.85,0.21,0.52,0.62,194.93,0.94
22Month,0,0.14,0.14,3.28,0.14,0,0,0,0,0.14,3.83,0.14,0,0.55,0.27,0,0.14,0,0,0.27,0,0,0.14,0,0,0,0.27,5.06,0,0,0,0.96,0
