stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell
72hpf,0,0,0,0,0,0,0.28,11.56,1.13,0,0.28,0
21Day,0.37,0,0.37,0,0,0.37,0.37,5.55,0,0,0,0.37
3Month,0,0,0,0,0,0.1,0.1,0,0,0.1,0,0
22Month,0,0.14,0,0.14,0.14,0,0,0.14,0,0,0,0.14
