stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0
72hpf,0,0.56,0,0,0,0,0,0.28,0.56,1.41,2.54,2.25,0.28,0,0,0,0,0
21Day,0.37,1.11,0.74,0,0,0,0.37,0,0.74,1.48,2.22,2.22,0.74,0.37,0.37,0.37,0,0
3Month,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0.21,0.21
22Month,0,0,0,0.14,0.14,1.23,0,0,0,0,0,0,0,0,0,0,0,0
