stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0.85,0,0,0,0,0,0
21Day,0,1.11,0,0,0,0,0,0,0,0,0.37,0.74,0,0,0,0,0,0,0,0,0,0
22Month,0.96,1.5,0.14,1.78,11.07,16.67,0.41,0.14,14.35,0,3.69,0.14,0.82,0.14,0.14,0.14,0,0.41,0.14,0.14,0.14,0.41
