stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell
72hpf,0,0,0,0,0.28,0,5.36,0,0,0,0,0
21Day,0.37,0,0.37,0,0.37,0,4.81,0.37,0,0.37,0.37,0
3Month,0.1,0.1,0.21,0.1,0,0.1,0,0,0.83,0,0,0
22Month,0,0.14,0.68,0.14,0.27,0,0,0,0.14,0,0,0.14
