stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4,0,0,3,0,0,0,0,0,0,1,0,0,0,0,2,2,0,4,0,0,0,1,43,122,1,0,0,2,0,0,1,0,0,0,0,0,0
72hpf,8.46,1.97,0,5.07,1.13,8.46,0,0,0.28,0,0,0,0,0.28,0,3.1,15.22,0.28,7.61,0,1.13,0.56,0,854.28,82.58,0.56,29.03,0,16.07,0,0,32.13,0.56,0.28,1.69,0,0,0
21Day,4.07,0,0,11.1,0.74,11.1,0,0,1.11,0,0,0.74,0,3.7,1.85,2.22,3.33,3.7,17.02,0,0,1.11,0,293.4,30.71,0.37,12.21,0,7.77,10.36,0.37,16.65,0.37,2.22,1.85,0,0,4.07
3Month,0,0.1,0.21,3.33,0,0,0.1,0.52,0.73,0,0,6.55,0.62,0.1,1.14,0.42,0.73,1.04,12.07,0.62,0.1,0.21,0.1,0.83,0.52,1.87,1.46,0,0.21,0.42,8.74,0.52,0,0,0.42,0.31,1.56,9.15
22Month,0,0.27,0.41,1.37,0,0,0.27,0.14,2.19,0.68,0,18.31,0.68,0.27,4.65,0.14,0.96,0.55,8.47,0,0.68,0.14,0,1.5,0.14,1.91,0.41,0.14,0,0.14,6.56,1.09,0,0,0,0.14,0,8.2
