stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
72hpf,0.28,0.56,0,0,0.28,8.17,0.56,1.41
21Day,0.37,0.37,0.37,0,0,1.48,1.48,0
3Month,0,0.1,0,0.21,0,0.52,0,0
22Month,0,0,0,0,0,0.27,0,0
