stage,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Macrophage,Neural_progenitor_cell,T_cell
24hpf,0,0,0,1,0,0
72hpf,0,0,0,0,0.28,0
21Day,0,0.37,2.22,0,0,1.11
3Month,0.1,0.1,0,0,0,0.42
