stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,226,1,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0,16,0,0,0,0,3,29,0,0,1,0,0,0,0,0,0,0,0
72hpf,295.38,1.13,0,7.61,0.28,5.64,0.56,0,0,0,0,0,0,0,1.69,12.68,0,14.66,0,0.28,0.56,0,27.34,11.56,0.28,0.56,10.71,0.28,0,1.97,0,0.56,1.41,0,0
21Day,304.5,2.22,0,42.55,0.37,10.36,1.11,0.37,0.37,0,2.22,0,2.96,1.48,0.74,31.08,2.59,29.6,0,0,3.7,0,14.8,7.77,1.11,0.37,12.95,4.44,0,0.74,1.11,4.07,1.48,0.74,1.85
3Month,4.58,0.21,0,2.6,0,0,0,0.1,0.31,0.1,0.42,0,0.1,0.52,0,1.46,0.21,1.46,0.21,0,0.1,0.21,0,0,0,0.52,0.1,0,0.1,0,0,0,0,0.42,0.21
22Month,2.46,0,0.14,1.78,0,0,0,0.41,0.41,0.14,0.96,0.14,0,0.68,0,0.96,0.27,0.68,0,0.14,0.27,0,0,0,0,0.41,0,0,0.14,0,0,0,0,0.27,0
