stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Macrophage,Spermatocyte,T_cell
24hpf,0,0,0,0,2,0,0
72hpf,0,0,0,0,0.28,0,0
21Day,0,0,0,0.37,1.48,0,0
3Month,0.1,0.21,0.42,0.1,1.87,0.1,0.21
22Month,0.14,0.41,0.55,0.14,2.19,0,0
