stage,Epithelial_cell,Granulocyte,Hepatocyte,Muscle_cell,Nephron_cell,T_cell
21Day,0.37,0,0,0,0,0
3Month,0.21,0.1,0.31,0.1,0.1,0.21
22Month,0.14,0,0.27,0,0,0
