stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,1.13,0,1.69,0.56,0.28,0,0,0,0,0,0,0,0,0,0,0.56,2.25,0,3.38,0,0.28,0.28,6.48,4.79,0.28,0,5.92,0.28,0,1.69,0,0,0,0
21Day,0.37,0.37,0,1.85,0.74,0.74,0,0,1.11,0,0,0,0.37,0,0,0,0.37,0.37,0.37,16.28,0,0,2.22,3.33,5.18,1.85,0,7.4,0.37,0.37,2.22,0.37,0,0,0
3Month,0.1,1.66,0.1,5.51,0.1,0,0.1,0,15.5,0.73,0.21,0,1.77,0.21,0,1.04,0.21,0.73,0.73,9.88,1.77,0,1.77,0.21,0.1,1.77,0.31,1.04,0.73,2.08,0.52,0,1.04,0.52,0.42
22Month,0,1.09,0.41,2.87,0,0,0.14,0.14,5.33,0.41,0.55,0,6.01,0.14,0.14,1.91,0.27,0.27,2.87,10.66,0.14,0.27,0.68,0.14,0.14,2.46,0,0.41,0.14,1.64,3.28,0,0.27,0,0.14
