stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0.74,0,0,0,0.37,0,0,0,0,1.48,0,0,0,0,0.37,0,0,0,0.74,0,0,0,1.11,0.37,0,0,0,0.37,0,0,8.51
3Month,0.1,0.52,0.1,0,0.52,0,0.1,1.25,1.25,7.07,0.73,0.62,0.1,0.83,0.73,0.62,0.21,0,0,0.21,0,0,0.1,0,0,0.42,0,0.1,0,0.21,0.21,39.84
22Month,0.82,0.82,0,0,0,0,0.41,2.32,3.01,4.51,2.6,0.68,0.14,0,4.51,1.37,0,0.14,0.14,0.14,0,0.27,0.14,0,0.27,0,0.14,0,0,0,0,35.39
