stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,1,0,11,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,0,3,134,0,0,0,0,0,1,0,0,1,0,0
72hpf,0.56,0.28,0.28,0.28,0.28,0,0,0,0,0,0,0,0,0,1.69,0,5.36,0,0.28,9.02,12.12,0.28,0,1.97,0,0,3.1,0,0,0,0,0
21Day,0,0,1.11,0,0,0.37,0,0,0,0.37,0,0,0,0,0.37,0,2.96,0,0.37,2.59,1.85,0,0,1.85,0.37,0.37,1.48,0,0.74,0,0,0
3Month,0,0,0,0,0,0,0.1,0,0,0.94,0,0,0.1,0.21,0,0.1,1.14,0.1,0.1,0,0,0,0.1,0,0.21,0.94,0,0,0,0,0.1,0.1
22Month,0,0.14,0.41,0,0,0,0,0.27,0.41,2.32,0.14,0.14,0.14,0.14,0,0.14,3.28,0,0.14,0,0,0.27,0.68,0,0,0.68,0.27,0.14,0,0,0,0.14
